"path","size","sha256","kind"
"APFtypes.pdf","66286","640a7ba45ddbb9d56257583a8b656a20acc9264e43a4d7d9e58aa39d8857ec10","data"
"BehringerMods_Midi2Cat_v2.pdf","1067842","8f12a72997ce1969f24cac3fe63b3ec3a7a1870ffed00aa395a8793c87c24601","data"
"calculus","929296","de43a4b9c7db4445997e6452852980d58d2558d635ab3c63e6423a347ba326c3","data"
"CATStructs.xml","79759","f3eceafae604d8d5162b22d1b34b5ff87fa2617b0510eea7cb13c73a6a64c418","data"
"ChannelMaster.dll","122368","36f3da24662f921ec6f4445d58834d7a4806fcf20b5a0898574a6d7092c06a2c","native-pe"
"cmASIO Guide.pdf","586257","a17320bd7f4dccf997049f536cca998e3b2d8c582fbf5ee351a51f56432dfa82","data"
"cmASIO.dll","23552","9c527993a884cb2160b2c73b147cfa87ebfc07c59031a6b9cfc38f373bcddb41","native-pe"
"Discord.Net.Commands.dll","136192","9eda875c3c361136095db0d5e497f7f4f7e0831f480304a653d0b8504da5811c","managed-pe"
"Discord.Net.Core.dll","908800","243da37b0d33f6f24b1e45afc75e2d6a424fa2c04c171b2344a63f66c1a7a122","managed-pe"
"Discord.Net.Interactions.dll","238592","1e1806f93d47e30836928cc45ee6a9bc17cb73d8ce2d200619a27d769553899f","managed-pe"
"Discord.Net.Rest.dll","1479680","4352cbe6bd8756ac7655af3d07e3836c7fc86dd5a7a4b5558b3e87a10d2753ab","managed-pe"
"Discord.Net.Webhook.dll","31744","9327b7bba8c79742cbf32da450911ed22c86442197a0c958a6972d61c285fb36","managed-pe"
"Discord.Net.WebSocket.dll","936960","af980b24ada6130486b83cf2203862699080d6ff4a5f08045efe1e19ed99c5e0","managed-pe"
"ExCSS.dll","346112","05470f413caf55cc511e83a5f114f7fc54815f330eb956578c6714515526c9da","managed-pe"
"FTDI2XX.dll","67072","3d3a24882d78894ba3caee20fea0eb48089bde85985cb6f987157321fdd7b1b5","managed-pe"
"HtmlAgilityPack.dll","172544","32b0c05ce48354499ab11dea7cbb7ddb705e81c59415fee2b65bd98b30652164","managed-pe"
"libfftw3-3.dll","2625304","a1355362bcc9aa5cc35da66f62522dbb34f6c721b873246ff95151a370cbcb9a","native-pe"
"libfftw3f-3.dll","2692396","1a87baafee0cfe0ee9fa9d5e2d748df6ffa0c18a0fb46e6884c925cf620c8b3d","native-pe"
"libSkiaSharp.dll","11611680","8b097d433db94fe61aba85213184938fb36118afd542d33252dd83794fdd9afc","native-pe"
"Markdig.dll","500736","2a79c1c7138d099b8d9f363f37d25ce56abfdf42a6172f6c19a09161bc7ba849","managed-pe"
"Microsoft.Bcl.AsyncInterfaces.dll","28432","f89f62aee959e03cfc50c646d38b50085c5862cec86f519254dbb7a3381939bc","managed-pe"
"Microsoft.Bcl.HashCode.dll","26920","3a4e851ee5fc0f6182aa5a3d65dc56fcd6979b65334b5c3b92fbdc791457c0ab","managed-pe"
"Microsoft.Bcl.Memory.dll","78088","729fb9b12f92b31ccddf56fd628e167569463ccad1689bde897617f8a23222f7","managed-pe"
"Microsoft.CodeAnalysis.CSharp.dll","8571152","34ce616b610be07f61a345e01aa317a0dd78fd32b4ddaafa1ebb28c526341099","managed-pe"
"Microsoft.CodeAnalysis.CSharp.Scripting.dll","35600","6bc6e6e0fd1628a6490f07b0d412da21df8f490f553b5931f200ae73cec23b19","managed-pe"
"Microsoft.CodeAnalysis.dll","5166384","d6c489f45a19b5ead980e5f6272293f1fe71cc721ed1f0d20d6e59da9d592e22","managed-pe"
"Microsoft.CodeAnalysis.Scripting.dll","137528","fcda3f5ba04c2820ea186f91856f75fbfe07b0b92cae1aefdffcb56450623e9a","managed-pe"
"Microsoft.Extensions.DependencyInjection.Abstractions.dll","66320","30675dcc4e875cd25a3140108600c3b562421f67f9b773cdffe61f35b3021a78","managed-pe"
"Microsoft.NET.StringTools.dll","33040","c91ee622ceb67b03d40c11f98284deaaa5ef4f22053210b9a2a254a286da15e3","managed-pe"
"Microsoft.Win32.Registry.dll","26496","e9a9d281c1a708aaae366f82fd6a1742f65da2918cc4fa5eaaaada0be24277d9","managed-pe"
