"path","exit_code","stats_present","log"
"ChannelMaster.dll","0","True","logs/ghidra_ChannelMaster.dll.log"
"cmASIO.dll","0","True","logs/ghidra_cmASIO.dll.log"
"libfftw3-3.dll","0","True","logs/ghidra_libfftw3-3.dll.log"
"libfftw3f-3.dll","0","True","logs/ghidra_libfftw3f-3.dll.log"
"libSkiaSharp.dll","0","True","logs/ghidra_libSkiaSharp.dll.log"
"PA19.dll","0","True","logs/ghidra_PA19.dll.log"
"rnnoise_avx2.dll","0","True","logs/ghidra_rnnoise_avx2.dll.log"
"rnnoise.dll","0","True","logs/ghidra_rnnoise.dll.log"
"specbleach.dll","0","True","logs/ghidra_specbleach.dll.log"
"wdsp.dll","0","True","logs/ghidra_wdsp.dll.log"
