entry,name,signature,status,chunk
"180001000","FUN_180001000","undefined __fastcall FUN_180001000(longlong param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800010e0","FUN_1800010e0","undefined __fastcall FUN_1800010e0(longlong param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180001340","FUN_180001340","int * __fastcall FUN_180001340(int param_1, int param_2, int param_3, int param_4, int param_5, int param_6, int param_7, undefined8 param_8, undefined8 param_9, longlong param_10, int param_11, undefined8 param_12, undefined8 param_13, undefined8 param_14, undefined8 param_15, undefined8 param_16)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800016f0","FUN_1800016f0","undefined __fastcall FUN_1800016f0(void * param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180001840","FUN_180001840","undefined __fastcall FUN_180001840(longlong param_1, int param_2, int param_3, void * param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800019e0","FUN_1800019e0","undefined __fastcall FUN_1800019e0(longlong param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180001bb0","FUN_180001bb0","undefined __fastcall FUN_180001bb0(longlong param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180001fb0","FUN_180001fb0","undefined __fastcall FUN_180001fb0(longlong param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180002140","FUN_180002140","undefined __fastcall FUN_180002140(void * param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180002200","SetAAudioMixState","undefined __fastcall SetAAudioMixState(void * param_1, int param_2, byte param_3, uint param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800023c0","SetAAudioMixStates","undefined __fastcall SetAAudioMixStates(void * param_1, int param_2, uint param_3, uint param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800025b0","SetAAudioMixWhat","undefined __fastcall SetAAudioMixWhat(longlong param_1, int param_2, uint param_3, int param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800025e0","SetAAudioMixVolume","undefined __fastcall SetAAudioMixVolume(longlong param_1, int param_2, double param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180002760","SetAAudioMixVol","undefined __fastcall SetAAudioMixVol(longlong param_1, int param_2, int param_3, double param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800027e0","FUN_1800027e0","undefined __fastcall FUN_1800027e0(void * param_1, undefined8 param_2, undefined4 param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800028c0","FUN_1800028c0","undefined __fastcall FUN_1800028c0(void * param_1, undefined8 param_2, undefined4 param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180002a30","SetAudioMixWhat","undefined __fastcall SetAudioMixWhat(int param_1, int param_2, byte param_3, int param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180002ac0","SetAudioMixSize","undefined __fastcall SetAudioMixSize(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180002b10","SetAudioMixVolume","undefined __fastcall SetAudioMixVolume(int param_1, double param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180002da0","SetAudioMixVol","undefined __fastcall SetAudioMixVol(int param_1, int param_2, uint param_3, double param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180002e30","FUN_180002e30","undefined __fastcall FUN_180002e30(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180002f60","alloc_analyzer","int __fastcall alloc_analyzer(int param_1, int param_2, undefined4 param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800030c0","free_analyzer","undefined8 __fastcall free_analyzer(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180003120","run_analyzer","undefined __fastcall run_analyzer(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180003180","GetInboundBps","double __fastcall GetInboundBps(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180003210","GetOutboundBps","double __fastcall GetOutboundBps(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800032a0","FUN_1800032a0","undefined * __fastcall FUN_1800032a0(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800032b0","FID_conflict:sprintf_s","int __cdecl FID_conflict:sprintf_s(wchar_t * _Dst, size_t _SizeInWords, wchar_t * _Format, ...)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180003310","FUN_180003310","undefined __fastcall FUN_180003310(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180003670","FUN_180003670","undefined __fastcall FUN_180003670(undefined8 param_1, int param_2, void * param_3)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800036d0","FUN_1800036d0","undefined __fastcall FUN_1800036d0(longlong param_1, longlong param_2, longlong param_3, longlong param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180003ac0","getCMAstate","ulonglong __fastcall getCMAstate(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180003af0","getCMAevents","undefined __fastcall getCMAevents(undefined4 * param_1, undefined8 param_2, undefined4 * param_3, undefined8 param_4)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180003bb0","resetCMAevents","undefined __fastcall resetCMAevents(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180003c00","FUN_180003c00","undefined __fastcall FUN_180003c00(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180003ef0","FUN_180003ef0","undefined __fastcall FUN_180003ef0(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800045a0","FUN_1800045a0","undefined __fastcall FUN_1800045a0(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180004a60","FUN_180004a60","undefined __fastcall FUN_180004a60(void)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180004fa0","xcmaster","undefined __fastcall xcmaster(int param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800056a0","SendpOutboundRx","undefined __fastcall SendpOutboundRx(undefined8 param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800056c0","SendpOutboundTx","undefined __fastcall SendpOutboundTx(undefined8 param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800056e0","SendpOutboundTCIRxIQ","undefined __fastcall SendpOutboundTCIRxIQ(undefined8 param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"1800056f0","SendpInboundTCITxAudio","undefined __fastcall SendpInboundTCITxAudio(undefined8 param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180005700","SetRXTCIRun","undefined __fastcall SetRXTCIRun(undefined4 param_1)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180005710","SetTXTCIAudioRun","undefined __fastcall SetTXTCIAudioRun(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180005730","SetRunPanadapter","undefined __fastcall SetRunPanadapter(int param_1, undefined4 param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
"180005750","SetXcmInrate","undefined __fastcall SetXcmInrate(int param_1, int param_2)","OK","ChannelMaster.dll.decompiled.part-0001.c"
