entry,name,signature,status,chunk
"180001000","FUN_180001000","undefined8 * __fastcall FUN_180001000(int param_1, undefined8 param_2, undefined8 param_3)","OK","PA19.dll.decompiled.part-0001.c"
"1800011b0","FUN_1800011b0","undefined4 * __fastcall FUN_1800011b0(void)","OK","PA19.dll.decompiled.part-0001.c"
"180001230","FUN_180001230","undefined __fastcall FUN_180001230(longlong param_1)","OK","PA19.dll.decompiled.part-0001.c"
"180001280","FUN_180001280","undefined __fastcall FUN_180001280(longlong param_1)","OK","PA19.dll.decompiled.part-0001.c"
"1800012e0","FUN_1800012e0","longlong __fastcall FUN_1800012e0(int * param_1, int param_2)","OK","PA19.dll.decompiled.part-0001.c"
"180001360","FUN_180001360","undefined __fastcall FUN_180001360(longlong param_1, longlong param_2)","OK","PA19.dll.decompiled.part-0001.c"
"180001510","FUN_180001510","undefined __fastcall FUN_180001510(undefined2 * param_1, int param_2, double * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180001610","FUN_180001610","undefined __fastcall FUN_180001610(undefined2 * param_1, int param_2, double * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"1800017d0","FUN_1800017d0","undefined __fastcall FUN_1800017d0(int * param_1, int param_2, float * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"1800018d0","FUN_1800018d0","undefined __fastcall FUN_1800018d0(int * param_1, int param_2, float * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180001a20","FUN_180001a20","undefined __fastcall FUN_180001a20(undefined1 * param_1, int param_2, float * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180001b50","FUN_180001b50","undefined __fastcall FUN_180001b50(undefined1 * param_1, int param_2, float * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180001c80","FUN_180001c80","undefined __fastcall FUN_180001c80(undefined2 * param_1, int param_2, float * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180001d80","FUN_180001d80","undefined __fastcall FUN_180001d80(undefined2 * param_1, int param_2, float * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180001e70","FUN_180001e70","undefined __fastcall FUN_180001e70(undefined1 * param_1, int param_2, float * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180001f70","FUN_180001f70","undefined __fastcall FUN_180001f70(undefined1 * param_1, int param_2, float * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180002060","FUN_180002060","undefined __fastcall FUN_180002060(char * param_1, int param_2, float * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"1800020f0","FUN_1800020f0","undefined __fastcall FUN_1800020f0(undefined1 * param_1, int param_2, float * param_3, int param_4, int param_5)","OK","PA19.dll.decompiled.part-0001.c"
"180002160","FUN_180002160","undefined __fastcall FUN_180002160(undefined1 * param_1, int param_2, float * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180002300","_guard_check_icall","undefined __fastcall _guard_check_icall(void)","OK","PA19.dll.decompiled.part-0001.c"
"180002350","FUN_180002350","undefined __fastcall FUN_180002350(undefined2 * param_1, int param_2, int * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180002400","FUN_180002400","undefined __fastcall FUN_180002400(undefined1 * param_1, int param_2, int * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"1800024b0","FUN_1800024b0","undefined __fastcall FUN_1800024b0(char * param_1, int param_2, int * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"1800026a0","FUN_1800026a0","undefined __fastcall FUN_1800026a0(undefined2 * param_1, int param_2, uint3 * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180002780","FUN_180002780","undefined __fastcall FUN_180002780(undefined1 * param_1, int param_2, uint3 * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180002860","FUN_180002860","undefined __fastcall FUN_180002860(char * param_1, int param_2, uint3 * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180002a50","FUN_180002a50","undefined __fastcall FUN_180002a50(undefined1 * param_1, int param_2, short * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"180002b20","FUN_180002b20","undefined __fastcall FUN_180002b20(char * param_1, int param_2, short * param_3, int param_4, int param_5, int * param_6)","OK","PA19.dll.decompiled.part-0001.c"
"1800030c0","FUN_1800030c0","uint __fastcall FUN_1800030c0(uint param_1, uint param_2)","OK","PA19.dll.decompiled.part-0001.c"
"180003120","FUN_180003120","undefined * __fastcall FUN_180003120(uint param_1, uint param_2, uint param_3)","OK","PA19.dll.decompiled.part-0001.c"
"180003800","FUN_180003800","undefined * __fastcall FUN_180003800(uint param_1)","OK","PA19.dll.decompiled.part-0001.c"
