entry,name,signature,status,chunk
"180001000","FUN_180001000","undefined8 __fastcall FUN_180001000(undefined8 * param_1, char * param_2)","OK","cmASIO.dll.decompiled.part-0001.c"
"1800011e0","FUN_1800011e0","undefined __fastcall FUN_1800011e0(undefined8 * param_1)","OK","cmASIO.dll.decompiled.part-0001.c"
"180001260","FUN_180001260","int * __fastcall FUN_180001260(HKEY param_1, LPBYTE param_2, int param_3, int * param_4)","OK","cmASIO.dll.decompiled.part-0001.c"
"180001610","FUN_180001610","undefined8 __fastcall FUN_180001610(void)","OK","cmASIO.dll.decompiled.part-0001.c"
"180001620","FUN_180001620","undefined * __fastcall FUN_180001620(void)","OK","cmASIO.dll.decompiled.part-0001.c"
"180001630","FUN_180001630","int __fastcall FUN_180001630(undefined8 param_1, undefined8 param_2, undefined8 param_3, undefined8 param_4)","OK","cmASIO.dll.decompiled.part-0001.c"
"180001690","FUN_180001690","undefined8 __fastcall FUN_180001690(longlong param_1)","OK","cmASIO.dll.decompiled.part-0001.c"
"180001910","FUN_180001910","undefined8 __fastcall FUN_180001910(undefined8 * param_1, int param_2)","OK","cmASIO.dll.decompiled.part-0001.c"
"1800019c0","FUN_1800019c0","undefined __fastcall FUN_1800019c0(int param_1)","OK","cmASIO.dll.decompiled.part-0001.c"
"180001b30","_guard_check_icall","undefined __fastcall _guard_check_icall(void)","OK","cmASIO.dll.decompiled.part-0001.c"
"180001bb0","FUN_180001bb0","int __fastcall FUN_180001bb0(longlong param_1, int param_2, int param_3, int param_4, int param_5)","OK","cmASIO.dll.decompiled.part-0001.c"
"180001ed0","prepareASIO","undefined8 __fastcall prepareASIO(undefined4 param_1, undefined4 param_2, undefined8 * param_3, undefined8 param_4, int param_5, uint param_6)","OK","cmASIO.dll.decompiled.part-0001.c"
"1800024f0","unloadASIO","undefined __fastcall unloadASIO(void)","OK","cmASIO.dll.decompiled.part-0001.c"
"1800025a0","getASIODriverString","uint __fastcall getASIODriverString(char * param_1)","OK","cmASIO.dll.decompiled.part-0001.c"
