entry,name,signature,status,chunk
"180001000","sk_compatpaint_new","undefined sk_compatpaint_new(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001040","Unwind@180001040","undefined Unwind@180001040(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001070","sk_compatpaint_new_with_font","undefined sk_compatpaint_new_with_font(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800010b0","Unwind@1800010b0","undefined Unwind@1800010b0(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800010e0","sk_compatpaint_delete","undefined sk_compatpaint_delete(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001110","sk_compatpaint_clone","undefined sk_compatpaint_clone(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001150","Unwind@180001150","undefined Unwind@180001150(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001180","sk_compatpaint_reset","undefined sk_compatpaint_reset(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001190","sk_compatpaint_make_font","undefined sk_compatpaint_make_font(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800011a0","sk_compatpaint_get_font","undefined sk_compatpaint_get_font(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800011b0","sk_compatpaint_set_text_align","undefined sk_compatpaint_set_text_align(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800011c0","sk_compatpaint_get_text_align","undefined sk_compatpaint_get_text_align(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800011d0","sk_compatpaint_set_text_encoding","undefined sk_compatpaint_set_text_encoding(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800011e0","sk_compatpaint_get_text_encoding","undefined sk_compatpaint_get_text_encoding(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800011f0","sk_compatpaint_set_filter_quality","undefined sk_compatpaint_set_filter_quality(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001200","sk_compatpaint_get_filter_quality","undefined sk_compatpaint_get_filter_quality(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001210","sk_compatpaint_set_lcd_render_text","undefined sk_compatpaint_set_lcd_render_text(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001220","sk_compatpaint_get_lcd_render_text","undefined sk_compatpaint_get_lcd_render_text(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001230","sk_compatpaint_set_is_antialias","undefined sk_compatpaint_set_is_antialias(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001240","FUN_180001240","undefined FUN_180001240(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001260","FUN_180001260","undefined FUN_180001260(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001280","FUN_180001280","undefined FUN_180001280(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800012a0","FUN_1800012a0","undefined FUN_1800012a0(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800012e0","FUN_1800012e0","undefined FUN_1800012e0(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001300","sk_manageddrawable_new","undefined sk_manageddrawable_new(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001340","Unwind@180001340","undefined Unwind@180001340(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001370","gr_glinterface_unref","undefined gr_glinterface_unref(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001390","sk_manageddrawable_set_procs","undefined sk_manageddrawable_set_procs(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001430","FUN_180001430","undefined FUN_180001430(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001450","FUN_180001450","undefined FUN_180001450(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001470","FUN_180001470","undefined FUN_180001470(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001490","FUN_180001490","undefined FUN_180001490(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800014b0","sk_managedwstream_new","undefined sk_managedwstream_new(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800014f0","Unwind@1800014f0","undefined Unwind@1800014f0(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001520","sk_canvas_destroy","undefined sk_canvas_destroy(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001540","sk_managedwstream_set_procs","undefined sk_managedwstream_set_procs(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800015c0","FUN_1800015c0","undefined FUN_1800015c0(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"1800015e0","FUN_1800015e0","undefined FUN_1800015e0(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001600","FUN_180001600","undefined FUN_180001600(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001620","FUN_180001620","undefined FUN_180001620(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001640","FUN_180001640","undefined FUN_180001640(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001660","FUN_180001660","undefined FUN_180001660(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
"180001680","FUN_180001680","undefined FUN_180001680(void)","OK","libSkiaSharp.dll.decompiled.part-0001.c"
