entry,name,signature,status,chunk
"70681000","FUN_70681000","undefined FUN_70681000(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681010","_CRT_INIT","undefined _CRT_INIT(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681200","__DllMainCRTStartup","undefined __DllMainCRTStartup(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681330","DllMainCRTStartup","undefined DllMainCRTStartup(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681380","atexit","int __cdecl atexit(_func_5014 * param_1)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681390","__gcc_register_frame","undefined __gcc_register_frame(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"706813a0","__gcc_deregister_frame","undefined __gcc_deregister_frame(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"706813b0","fftw_ialignment_of","undefined fftw_ialignment_of(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"706813c0","fftw_malloc_plain","undefined fftw_malloc_plain(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681410","fftw_ifree","undefined fftw_ifree(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681420","fftw_ifree0","undefined fftw_ifree0(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681440","fftw_assertion_failed","undefined fftw_assertion_failed(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681490","fftw_null_awake","undefined fftw_null_awake(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"706814a0","fftw_nbuf","undefined fftw_nbuf(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681550","fftw_bufdist","undefined fftw_bufdist(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681580","fftw_toobig","undefined fftw_toobig(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681590","fftw_nbuf_redundant","undefined fftw_nbuf_redundant(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681710","fftw_cpy1d","undefined fftw_cpy1d(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"706819a0","fftw_cpy2d_pair","undefined fftw_cpy2d_pair(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681a70","fftw_zero1d_pair","undefined fftw_zero1d_pair(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681aa0","fftw_cpy2d_pair_ci","undefined fftw_cpy2d_pair_ci(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681c30","fftw_cpy2d_pair_co","undefined fftw_cpy2d_pair_co(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70681dc0","dotile","undefined dotile(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682090","fftw_cpy2d","undefined fftw_cpy2d(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682330","dotile_buf","undefined dotile_buf(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"706824b0","fftw_cpy2d_ci","undefined fftw_cpy2d_ci(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682780","fftw_cpy2d_co","undefined fftw_cpy2d_co(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682a40","fftw_cpy2d_tiled","undefined fftw_cpy2d_tiled(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682af0","fftw_cpy2d_tiledbuf","undefined fftw_cpy2d_tiledbuf(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682bb0","fftw_ct_uglyp","undefined fftw_ct_uglyp(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682bf0",".text","undefined .text(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682c10","fftw_hash","undefined fftw_hash(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682c30","fftw_iabs","undefined fftw_iabs(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682c50","fftw_kernel_malloc","undefined fftw_kernel_malloc(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682c90","fftw_kernel_free","undefined fftw_kernel_free(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682cb0","fftw_md5putb","undefined fftw_md5putb(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682cf0","fftw_md5puts","undefined fftw_md5puts(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682d20","fftw_md5int","undefined fftw_md5int(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682d70","fftw_md5INT","undefined fftw_md5INT(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682db0","fftw_md5unsigned","undefined fftw_md5unsigned(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682e00","doblock","undefined doblock(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682f20","fftw_md5begin","undefined fftw_md5begin(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70682f50","fftw_md5putc","undefined fftw_md5putc(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70683090","fftw_md5end","undefined fftw_md5end(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70683380","fftw_imax","undefined fftw_imax(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"70683390","fftw_imin","undefined fftw_imin(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
"706833a0","fftw_ops_zero","undefined fftw_ops_zero(void)","OK","libfftw3-3.dll.decompiled.part-0001.c"
