entry,name,signature,status,chunk
"180001000","rnn_lpc","undefined rnn_lpc(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"1800012c0","rnn_autocorr","undefined rnn_autocorr(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180001560","rnnoise_model_from_buffer","undefined rnnoise_model_from_buffer(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180001590","rnnoise_model_from_filename","undefined rnnoise_model_from_filename(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"1800015c0","rnnoise_model_from_file","undefined rnnoise_model_from_file(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180001670","rnnoise_model_free","undefined rnnoise_model_free(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"1800016b0","rnnoise_get_size","undefined rnnoise_get_size(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"1800016c0","rnnoise_get_frame_size","undefined rnnoise_get_frame_size(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"1800016d0","rnnoise_init","undefined rnnoise_init(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"1800017a0","rnnoise_create","undefined rnnoise_create(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180001870","rnnoise_destroy","void __cdecl rnnoise_destroy(void * _Memory)","OK","rnnoise.dll.decompiled.part-0001.c"
"180001880","rnn_frame_analysis","undefined rnn_frame_analysis(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180001bd0","rnn_compute_frame_features","undefined rnn_compute_frame_features(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"1800024f0","FUN_1800024f0","undefined FUN_1800024f0(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180002cb0","rnn_biquad","undefined rnn_biquad(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180002d60","rnn_pitch_filter","undefined rnn_pitch_filter(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"1800033e0","FUN_1800033e0","undefined FUN_1800033e0(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180003890","rnnoise_process_frame","undefined rnnoise_process_frame(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180004360","rnn_fft_alloc_arch_c","undefined rnn_fft_alloc_arch_c(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180004370","rnn_fft_alloc_twiddles","undefined rnn_fft_alloc_twiddles(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180004a20","FUN_180004a20","undefined FUN_180004a20(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180004b80","rnn_fft_free","undefined rnn_fft_free(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180004bc0","rnn_fft_alloc","undefined rnn_fft_alloc(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180004be0","rnn_fft_free_arch_c","undefined rnn_fft_free_arch_c(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180004bf0","rnn_fft_impl","undefined rnn_fft_impl(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"180008690","rnn_fft_c","undefined rnn_fft_c(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"1800086f0","rnn_ifft_c","undefined rnn_ifft_c(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"1800087b0","rnn_compute_generic_dense","undefined rnn_compute_generic_dense(void)","OK","rnnoise.dll.decompiled.part-0001.c"
"1800087e0","rnn_compute_generic_gru","undefined rnn_compute_generic_gru(void)","OK","rnnoise.dll.decompiled.part-0001.c"
