entry,name,signature,status,chunk
"180001000","rnn_lpc","undefined rnn_lpc(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180001290","rnn_autocorr","undefined rnn_autocorr(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180001510","rnnoise_model_from_buffer","undefined rnnoise_model_from_buffer(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180001540","rnnoise_model_from_filename","undefined rnnoise_model_from_filename(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180001570","rnnoise_model_from_file","undefined rnnoise_model_from_file(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180001620","rnnoise_model_free","undefined rnnoise_model_free(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180001660","rnnoise_get_size","undefined rnnoise_get_size(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180001670","rnnoise_get_frame_size","undefined rnnoise_get_frame_size(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180001680","rnnoise_init","undefined rnnoise_init(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180001750","rnnoise_create","undefined rnnoise_create(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180001820","rnnoise_destroy","void __cdecl rnnoise_destroy(void * _Memory)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180001830","rnn_frame_analysis","undefined rnn_frame_analysis(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180001bf0","rnn_compute_frame_features","undefined rnn_compute_frame_features(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"1800025c0","FUN_1800025c0","undefined FUN_1800025c0(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180002c90","rnn_biquad","undefined rnn_biquad(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180002d30","rnn_pitch_filter","undefined rnn_pitch_filter(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180003490","FUN_180003490","undefined FUN_180003490(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180003930","rnnoise_process_frame","undefined rnnoise_process_frame(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180004830","rnn_fft_alloc_arch_c","undefined rnn_fft_alloc_arch_c(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180004840","rnn_fft_alloc_twiddles","undefined rnn_fft_alloc_twiddles(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180004ef0","FUN_180004ef0","undefined FUN_180004ef0(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
"180005050","rnn_fft_free","undefined rnn_fft_free(void)","OK","rnnoise_avx2.dll.decompiled.part-0001.c"
