entry,name,signature,status,chunk
"180001000","spectral_adaptive_denoiser_initialize","uint * __fastcall spectral_adaptive_denoiser_initialize(uint param_1, uint param_2, ulonglong param_3)","OK","specbleach.dll.decompiled.part-0001.c"
"180001170","spectral_adaptive_denoiser_free","undefined __fastcall spectral_adaptive_denoiser_free(void * param_1)","OK","specbleach.dll.decompiled.part-0001.c"
"180001200","load_adaptive_reduction_parameters","bool __fastcall load_adaptive_reduction_parameters(longlong param_1, undefined8 * param_2)","OK","specbleach.dll.decompiled.part-0001.c"
"180001220","spectral_adaptive_denoiser_run","ulonglong __fastcall spectral_adaptive_denoiser_run(uint * param_1, float * param_2)","OK","specbleach.dll.decompiled.part-0001.c"
"180001390","spectral_denoiser_initialize","uint * __fastcall spectral_denoiser_initialize(uint param_1, uint param_2, ulonglong param_3, undefined8 param_4)","OK","specbleach.dll.decompiled.part-0001.c"
"1800014e0","spectral_denoiser_free","undefined __fastcall spectral_denoiser_free(void * param_1)","OK","specbleach.dll.decompiled.part-0001.c"
"180001560","load_reduction_parameters","bool __fastcall load_reduction_parameters(longlong param_1, undefined8 * param_2)","OK","specbleach.dll.decompiled.part-0001.c"
"180001580","spectral_denoiser_run","ulonglong __fastcall spectral_denoiser_run(uint * param_1, float * param_2)","OK","specbleach.dll.decompiled.part-0001.c"
"180001720","specbleach_adaptive_initialize","uint * __fastcall specbleach_adaptive_initialize(uint param_1, float param_2)","OK","specbleach.dll.decompiled.part-0001.c"
"1800017e0","specbleach_adaptive_free","undefined __fastcall specbleach_adaptive_free(void * param_1)","OK","specbleach.dll.decompiled.part-0001.c"
"180001810","specbleach_adaptive_get_latency","undefined __fastcall specbleach_adaptive_get_latency(longlong param_1)","OK","specbleach.dll.decompiled.part-0001.c"
"180001820","specbleach_adaptive_process","ulonglong __fastcall specbleach_adaptive_process(longlong param_1, uint param_2, longlong param_3, longlong param_4)","OK","specbleach.dll.decompiled.part-0001.c"
"180001870","specbleach_adaptive_load_parameters","undefined8 __fastcall specbleach_adaptive_load_parameters(longlong param_1, undefined1 * param_2)","OK","specbleach.dll.decompiled.part-0001.c"
"1800019e0","specbleach_initialize","uint * __fastcall specbleach_initialize(uint param_1, float param_2)","OK","specbleach.dll.decompiled.part-0001.c"
"180001ad0","specbleach_free","undefined __fastcall specbleach_free(void * param_1)","OK","specbleach.dll.decompiled.part-0001.c"
"180001b10","specbleach_get_latency","undefined __fastcall specbleach_get_latency(longlong param_1)","OK","specbleach.dll.decompiled.part-0001.c"
"180001b20","specbleach_process","ulonglong __fastcall specbleach_process(longlong param_1, uint param_2, longlong param_3, longlong param_4)","OK","specbleach.dll.decompiled.part-0001.c"
"180001b70","specbleach_get_noise_profile_blocks_averaged","undefined __fastcall specbleach_get_noise_profile_blocks_averaged(longlong param_1)","OK","specbleach.dll.decompiled.part-0001.c"
"180001b80","specbleach_get_noise_profile","undefined __fastcall specbleach_get_noise_profile(longlong param_1)","OK","specbleach.dll.decompiled.part-0001.c"
"180001b90","specbleach_load_noise_profile","undefined8 __fastcall specbleach_load_noise_profile(longlong param_1, void * param_2, uint param_3, uint param_4)","OK","specbleach.dll.decompiled.part-0001.c"
"180001bf0","specbleach_reset_noise_profile","bool __fastcall specbleach_reset_noise_profile(longlong param_1)","OK","specbleach.dll.decompiled.part-0001.c"
"180001c20","specbleach_noise_profile_available","undefined __fastcall specbleach_noise_profile_available(longlong param_1)","OK","specbleach.dll.decompiled.part-0001.c"
"180001c30","specbleach_load_parameters","undefined8 __fastcall specbleach_load_parameters(longlong param_1, undefined4 * param_2)","OK","specbleach.dll.decompiled.part-0001.c"
"180001dc0","estimate_gains","undefined __fastcall estimate_gains(uint param_1, uint param_2, longlong param_3, longlong param_4, longlong param_5, longlong param_6, longlong param_7, int param_8)","OK","specbleach.dll.decompiled.part-0001.c"
"180002230","louizou_estimator_initialize","uint * __fastcall louizou_estimator_initialize(uint param_1, uint param_2, uint param_3)","OK","specbleach.dll.decompiled.part-0001.c"
"180002480","louizou_estimator_free","undefined __fastcall louizou_estimator_free(void * param_1)","OK","specbleach.dll.decompiled.part-0001.c"
