entry,name,signature,status,chunk
"180001000","FUN_180001000","undefined FUN_180001000(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180002930","FUN_180002930","undefined FUN_180002930(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180003850","SetRXAMode","undefined SetRXAMode(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180003bb0","FUN_180003bb0","undefined FUN_180003bb0(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180003c90","FUN_180003c90","undefined FUN_180003c90(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180003d80","RXASetPassband","undefined RXASetPassband(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180003dd0","RXASetNC","undefined RXASetNC(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180003e50","RXASetMP","undefined RXASetMP(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180003f90","FUN_180003f90","undefined FUN_180003f90(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180005350","FUN_180005350","undefined FUN_180005350(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180006080","SetTXAMode","undefined SetTXAMode(void)","OK","wdsp.dll.decompiled.part-0001.c"
"1800061e0","SetTXABandpassFreqs","undefined SetTXABandpassFreqs(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180006220","FUN_180006220","undefined FUN_180006220(void)","OK","wdsp.dll.decompiled.part-0001.c"
"1800064e0","TXASetNC","undefined TXASetNC(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180006550","TXASetMP","undefined TXASetMP(void)","OK","wdsp.dll.decompiled.part-0001.c"
"1800065e0","SetTXAFMAFFilter","undefined SetTXAFMAFFilter(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180006620","FUN_180006620","undefined FUN_180006620(void)","OK","wdsp.dll.decompiled.part-0001.c"
"1800068c0","SetRXAAMDRun","undefined SetRXAAMDRun(void)","OK","wdsp.dll.decompiled.part-0001.c"
"180006990","SetRXAAMDSBMode","undefined SetRXAAMDSBMode(void)","OK","wdsp.dll.decompiled.part-0001.c"
"1800069f0","SetRXAAMDFadeLevel","undefined SetRXAAMDFadeLevel(void)","OK","wdsp.dll.decompiled.part-0001.c"
